Entity,Year,feature,forecast_value,lower_ci,upper_ci
Albania,2023,internet_usage,88.6804,78.3062,99.5256
Albania,2024,internet_usage,92.8279,82.7497,104.2154
Albania,2025,internet_usage,96.9868,85.9439,108.1437
Albania,2026,internet_usage,101.1343,90.7461,112.3068
Albania,2027,internet_usage,105.2818,94.0482,115.7319
Albania,2023,electricity_access,100.0341,99.8212,100.2501
Albania,2024,electricity_access,100.0487,99.3598,100.7274
Albania,2025,electricity_access,100.0633,98.7502,101.2552
Albania,2026,electricity_access,100.0779,98.1152,101.951
Albania,2027,electricity_access,100.0925,97.3787,102.7372
Albania,2023,gdp_per_capita,12851.0657,12425.6491,13265.0829
Albania,2024,gdp_per_capita,13150.2068,12730.6487,13546.2197
Albania,2025,gdp_per_capita,13450.1673,13027.8332,13865.9093
Albania,2026,gdp_per_capita,13749.3084,13314.5075,14187.4782
Albania,2027,gdp_per_capita,14048.4494,13646.507,14453.7323
Algeria,2023,internet_usage,66.9188,52.2297,80.938
Algeria,2024,internet_usage,70.3372,55.6357,85.281
Algeria,2025,internet_usage,73.7649,60.8849,88.023
Algeria,2026,internet_usage,77.1833,63.0366,91.8952
Algeria,2027,internet_usage,80.6017,67.0936,94.7535
Algeria,2023,electricity_access,100.0119,99.7391,100.2342
Algeria,2024,electricity_access,100.1057,99.2356,100.8131
Algeria,2025,electricity_access,100.1998,98.7081,101.564
Algeria,2026,electricity_access,100.2936,98.0759,102.482
Algeria,2027,electricity_access,100.3874,97.2595,103.4667
Algeria,2023,gdp_per_capita,15650.118,13666.3417,17716.6215
Algeria,2024,gdp_per_capita,15970.4998,14230.8508,17930.4573
Algeria,2025,gdp_per_capita,16291.7593,14142.3202,18136.3011
Algeria,2026,gdp_per_capita,16612.1411,14746.3721,18643.3086
Algeria,2027,gdp_per_capita,16932.5228,14968.0892,19008.6666
Angola,2023,internet_usage,37.9151,28.6592,47.9601
Angola,2024,internet_usage,39.9506,30.4717,51.0892
Angola,2025,internet_usage,41.9916,32.4351,51.8704
Angola,2026,internet_usage,44.0271,33.7761,53.5208
Angola,2027,internet_usage,46.0626,36.1179,55.7467
Angola,2023,electricity_access,49.8911,44.7166,55.2831
Angola,2024,electricity_access,51.024,45.8047,56.2017
Angola,2025,electricity_access,52.1601,47.0408,57.3279
Angola,2026,electricity_access,53.293,47.8946,58.2506
Angola,2027,electricity_access,54.4259,49.1841,59.7046
Angola,2023,gdp_per_capita,8813.81,5734.6991,11928.6583
Angola,2024,gdp_per_capita,9049.8893,6154.0428,12030.3135
Angola,2025,gdp_per_capita,9286.6155,6399.7609,12091.8032
Angola,2026,gdp_per_capita,9522.6948,6727.4493,12554.965
Angola,2027,gdp_per_capita,9758.7741,6841.4415,12743.2735
Argentina,2023,internet_usage,97.7453,90.1603,105.0156
Argentina,2024,internet_usage,101.936,94.0896,109.4211
Argentina,2025,internet_usage,106.1383,98.9085,114.1039
Argentina,2026,internet_usage,110.329,103.5777,117.2339
Argentina,2027,internet_usage,114.5198,107.5294,122.2222
Argentina,2023,electricity_access,100.0,99.5665,100.4598
Argentina,2024,electricity_access,100.0,98.706,101.384
Argentina,2025,electricity_access,100.0,97.5784,102.4749
Argentina,2026,electricity_access,100.0,96.2711,103.8903
Argentina,2027,electricity_access,100.0,94.8305,105.4358
Argentina,2023,gdp_per_capita,19973.2607,16659.0047,23303.4372
Argentina,2024,gdp_per_capita,20202.6418,16908.1386,23757.9274
Argentina,2025,gdp_per_capita,20432.6514,17122.2839,23881.9693
Argentina,2026,gdp_per_capita,20662.0325,17217.8558,23828.776
Argentina,2027,gdp_per_capita,20891.4137,17370.2172,24329.1784
Armenia,2023,internet_usage,85.5975,72.5557,98.7986
Armenia,2024,internet_usage,89.8333,77.4327,104.3692
Armenia,2025,internet_usage,94.0807,79.9149,108.9546
Armenia,2026,internet_usage,98.3166,84.8231,112.4794
Armenia,2027,internet_usage,102.5524,87.8686,115.7219
Armenia,2023,electricity_access,100.1279,99.4559,100.8344
Armenia,2024,electricity_access,100.1777,99.5329,100.8988
Armenia,2025,electricity_access,100.2276,99.5696,100.8997
Armenia,2026,electricity_access,100.2774,99.5481,100.9429
Armenia,2027,electricity_access,100.3272,99.6918,101.0334
Armenia,2023,gdp_per_capita,13009.2884,11494.1825,14606.9928
Armenia,2024,gdp_per_capita,13320.4587,11843.5915,14839.2066
Armenia,2025,gdp_per_capita,13632.4815,12259.8074,15130.9119
Armenia,2026,gdp_per_capita,13943.6518,12430.6815,15563.497
Armenia,2027,gdp_per_capita,14254.8221,12772.5827,15711.538
Australia,2023,internet_usage,99.551,97.4213,101.4104
Australia,2024,internet_usage,101.3302,99.3838,103.6299
Australia,2025,internet_usage,103.1142,101.1207,105.1467
Australia,2026,internet_usage,104.8934,102.7905,106.9904
Australia,2027,internet_usage,106.6726,104.3185,109.1069
Australia,2023,electricity_access,100.0,100.0,100.0
Australia,2024,electricity_access,100.0,100.0,100.0
Australia,2025,electricity_access,100.0,100.0,100.0
Australia,2026,electricity_access,100.0,100.0,100.0
Australia,2027,electricity_access,100.0,100.0,100.0
Australia,2023,gdp_per_capita,51516.6037,50573.0941,52486.3932
Australia,2024,gdp_per_capita,51948.161,51027.7737,53015.356
Australia,2025,gdp_per_capita,52380.9006,51357.6916,53447.4009
Australia,2026,gdp_per_capita,52812.4579,51727.2179,53876.6487
Australia,2027,gdp_per_capita,53244.0151,52080.9029,54444.5905
Austria,2023,internet_usage,94.9631,91.4003,98.7366
Austria,2024,internet_usage,96.4354,92.6919,100.1855
Austria,2025,internet_usage,97.9117,93.4708,101.7989
Austria,2026,internet_usage,99.384,94.6254,104.0289
Austria,2027,internet_usage,100.8563,95.9392,105.817
Austria,2023,electricity_access,100.0,100.0,100.0
Austria,2024,electricity_access,100.0,100.0,100.0
Austria,2025,electricity_access,100.0,100.0,100.0
Austria,2026,electricity_access,100.0,100.0,100.0
Austria,2027,electricity_access,100.0,100.0,100.0
Austria,2023,gdp_per_capita,43260.0909,41885.6216,44591.1804
Austria,2024,gdp_per_capita,43465.2341,42047.829,44831.1761
Austria,2025,gdp_per_capita,43670.9392,42315.9526,45018.6808
Austria,2026,gdp_per_capita,43876.0823,42436.5881,45330.7347
Austria,2027,gdp_per_capita,44081.2254,42651.8525,45534.508
Azerbaijan,2023,internet_usage,103.7915,87.3629,120.2904
Azerbaijan,2024,internet_usage,108.6122,90.393,124.9968
Azerbaijan,2025,internet_usage,113.4462,96.9068,131.4774
Azerbaijan,2026,internet_usage,118.267,101.1431,134.9701
Azerbaijan,2027,internet_usage,123.0877,105.2313,141.1313
Azerbaijan,2023,electricity_access,100.0,99.4935,100.4653
Azerbaijan,2024,electricity_access,100.0,98.4568,101.4738
Azerbaijan,2025,electricity_access,100.0,97.2474,102.7532
